transaction_id,customer_id,transaction_date,transaction_time,customer_age,customer_loyalty_tier,location,store_id,product_sku,product_category,purchase_amount,payment_method,device_type,ip_address,fraud_flag,footfall_count
702bdd9b-9c93-41e3-9dbb-a849b2422080,119dca0b-8554-4b2d-9bec-e964eaf6af97,2025-07-27,04:04:15,56,Silver,San Francisco,FLAGSHIP-LA,NEBULA-SERUM-07,Concealer,158.24,Mobile Payment,Desktop,239.249.58.237,False,333
2e64c346-36bc-4acf-bc2b-8b0fdf46abc5,299df086-26c4-4708-b6d7-fcaeceb14637,2025-03-14,20:23:23,46,Platinum,Zurich,BOUTIQUE-SHANGHAI,STELLAR-FOUND-03,Lipstick,86.03,Credit Card,Tablet,84.49.227.90,False,406
29ad1278-70ce-421f-8d81-23816b39f4ac,dfa3d24d-b935-49a5-aa1d-7d57a44d8773,2025-02-20,12:36:02,32,Silver,Milan,POPUP-TOKYO,SOLAR-BLUSH-04,Mascara,255.69,Gift Card,Desktop,79.207.35.55,False,96
07dc4894-e0eb-48f1-99a7-1942b1973d9b,7a67e184-9369-49ee-aeac-18f5b51b230f,2025-04-25,19:09:43,60,Bronze,London,BOUTIQUE-NYC,GALAXIA-SET-08,Serum,282.76,Gift Card,Mobile,176.194.167.253,False,186
43a8a133-69a0-4d20-bf2a-d6d2b83e0d3d,f0b34554-3841-45b1-a27e-62c347855e7d,2025-04-12,14:48:04,38,Gold,Sydney,POPUP-TOKYO,SOLAR-BLUSH-04,Eyeliner,135.91,Mobile Payment,Tablet,210.71.0.75,False,244
51175e91-b199-4b3e-9810-99b533492d2e,2d3c1dd3-6844-44f0-ae89-42e7b147b31d,2025-03-21,18:08:33,56,Gold,Sydney,FLAGSHIP-ROME,STELLAR-FOUND-03,Serum,88.5,Gift Card,Mobile,170.76.231.149,False,166
7a7be10d-b2ca-4ae7-a3f1-430d1eaf61fe,2dba69e9-e8cc-4cf1-a809-fab0ea8568f3,2025-07-15,12:58:35,41,Bronze,Las Vegas,POPUP-TOKYO,ECLIPSE-EYE-10,Concealer,62.07,Credit Card,Tablet,219.150.31.189,True,384
152955a2-b19a-4670-a9dc-71d7f87930c7,2b019bf7-67ca-4a5e-b09a-5b899e4e20bf,2025-06-02,03:16:49,53,Gold,Sydney,BOUTIQUE-SHANGHAI,CELESTE-EYE-05,Setting Spray,50.26,Credit Card,Tablet,231.27.0.183,False,63
4ddc2db9-b740-4b4a-bd31-736daf110aee,34a9a67a-1a89-4ef4-91f4-4f02773ced09,2025-02-22,08:45:28,57,VIP,Rome,FLAGSHIP-LA,GALAXIA-SET-08,Eyeshadow Palette,200.05,Mobile Payment,Laptop,29.144.15.120,False,95
18ca8755-d2f5-47aa-8369-66e40a542778,dd0ee70b-abef-49bc-8b2b-2afa72e2f58d,2025-04-10,06:07:08,39,Silver,Miami,CONCESSION-LONDON,ORION-CONCEAL-09,Blush,131.81,Debit Card,Laptop,170.88.243.71,False,473
c3b14f6a-4d08-403e-8936-eef5a89a3ae5,5b3ed56d-ae97-4a70-956e-940f17566df5,2025-04-14,02:28:11,19,Platinum,Sydney,FLAGSHIP-PARIS,STELLAR-FOUND-03,Foundation,122.43,Credit Card,Desktop,49.196.184.213,True,258
768805a5-f373-4100-8cc9-aa3b83187294,5dd05a7f-ec6f-4208-a120-aee9235f768a,2025-02-20,21:22:45,47,Gold,Paris,POPUP-MILAN,COSMIC-HIGHLIGHT-06,Foundation,195.38,Gift Card,Laptop,185.249.223.69,False,276
8b13ed0c-e1e4-4cb0-9717-babd8b58c8a5,dc6dc635-47f7-404d-aa33-eba56816c6e7,2025-07-07,02:35:34,55,Platinum,Paris,POPUP-MILAN,LUNAR-MASC-02,Concealer,92.05,Credit Card,Tablet,22.70.212.233,False,498
1ca6d410-2328-4f10-a71b-a09ec81463e9,f90ba2d8-3a5f-47ca-9cd4-ecc2b820ed00,2025-04-05,09:57:19,19,Silver,Sydney,FLAGSHIP-LA,AURORA-LIP-01,Mascara,156.16,Mobile Payment,Desktop,229.217.92.232,False,290
ab5df119-4148-451b-8566-8a7b02450282,5307ff07-e0e3-4888-bf54-251461834025,2025-08-12,22:40:11,50,Gold,Zurich,BOUTIQUE-DUBAI,STELLAR-FOUND-03,Foundation,55.12,Gift Card,Desktop,91.115.95.217,False,353
6779b4a0-3272-4674-8779-739f067d56ea,c9f396d5-f170-4e34-827c-baa5b507ab72,2025-06-01,03:12:50,39,Gold,Miami,POPUP-MILAN,NEBULA-SERUM-07,Foundation,180.05,Debit Card,Laptop,183.137.210.187,False,394
ac82c1a4-d5bd-4217-92fc-9be6289492e5,6291086b-8d2d-4970-91ac-018dc79edfc6,2025-04-11,04:15:50,61,Gold,Miami,BOUTIQUE-SHANGHAI,GALAXIA-SET-08,Concealer,224.01,Mobile Payment,Laptop,9.19.247.188,False,179
54b52070-0a83-4ea0-b91b-a703715b546d,eaff30ab-d462-4668-9f21-e08e4fd301bf,2025-07-14,17:36:23,44,Gold,Rome,FLAGSHIP-PARIS,AURORA-LIP-01,Eyeshadow Palette,94.78,Gift Card,Mobile,187.143.238.40,False,63
f5caa14a-460f-49eb-bd97-0e25421b4fd3,2fbc734f-7c1f-4d12-9e7c-854f001f9fff,2025-03-26,02:04:19,33,Bronze,Paris,CONCESSION-SINGAPORE,STELLAR-FOUND-03,Lipstick,159.01,Debit Card,Mobile,232.175.5.240,False,292
a41f408d-c77f-41e0-85e2-955623a7178c,d70a5c2e-004b-4d18-a04e-b5ea312b4cd7,2025-05-11,11:08:56,38,Bronze,Milan,BOUTIQUE-NYC,SOLAR-BLUSH-04,Concealer,131.69,Gift Card,Laptop,218.142.129.67,False,266
e3c94fa0-5038-4afe-ad3a-8edca0bb0b30,f908fbab-c828-47e9-8fac-0180d27d1747,2025-03-12,17:40:37,26,Bronze,London,FLAGSHIP-PARIS,LUNAR-MASC-02,Highlighter,174.68,Mobile Payment,Mobile,158.143.140.131,False,407
5a40aa0c-f032-411e-8704-4ebfc2c46044,33ab78e0-25df-4902-baf5-512fe48cb665,2025-03-09,05:49:08,56,Bronze,Sydney,CONCESSION-LONDON,ORION-CONCEAL-09,Setting Spray,289.64,Debit Card,Desktop,4.57.89.77,False,470
4f67a98b-394f-4398-8432-cc5041450499,8e52c52e-5542-4246-8a4f-ab97cbfa5a40,2025-05-22,13:32:58,35,Bronze,Sydney,POPUP-TOKYO,SOLAR-BLUSH-04,Blush,233.68,Mobile Payment,Laptop,169.228.189.89,False,113
ee22f610-fc5d-43d8-a438-a77d93fdb84c,a2b347f0-db0c-4cd8-90a8-f48061d3c366,2025-02-25,02:16:12,19,Platinum,Sydney,FLAGSHIP-LA,LUNAR-MASC-02,Lipstick,75.93,Debit Card,Mobile,148.176.27.135,False,98
c0f6c760-657e-43fd-a3db-77ecc7c47ed8,57a0cc74-10e3-480e-a37f-a700cd7f7553,2025-07-01,04:40:19,45,Silver,London,BOUTIQUE-NYC,AURORA-LIP-01,Blush,253.64,Mobile Payment,Mobile,119.204.243.154,False,396
dffdedb9-0909-4006-b124-2eccec7bc581,26096732-bbcc-4990-abdd-a89da010bda4,2025-03-17,19:34:05,64,Bronze,New York,POPUP-MILAN,AURORA-LIP-01,Concealer,183.4,Gift Card,Laptop,122.119.194.199,False,107
eab81f2f-b919-49e3-a063-e8103f40e7d2,1d2db436-1f49-43c7-a331-a07a1d9fe6ae,2025-05-21,16:41:10,24,Bronze,New York,CONCESSION-LONDON,ORION-CONCEAL-09,Lipstick,85.29,Debit Card,Desktop,122.134.74.222,False,204
3e783c47-4b5f-4c37-9ff6-07e44223745a,1e06cc86-d616-4479-b647-b34fc53b493a,2025-07-05,05:42:39,25,Bronze,Sydney,CONCESSION-LONDON,SOLAR-BLUSH-04,Setting Spray,249.18,Gift Card,Desktop,174.161.21.49,False,390
2167bf58-eddd-4a07-a2a6-a7af002cc7fe,aa7bfb04-c8a7-45ba-a3aa-4121f1040fd0,2025-07-24,10:53:59,52,Silver,Miami,BOUTIQUE-SHANGHAI,ORION-CONCEAL-09,Highlighter,227.73,Gift Card,Tablet,86.138.136.50,False,200
19b76d19-280e-4511-8893-53fe05f495cd,f990f467-dd82-4254-9bf9-034b4444de21,2025-07-22,18:02:52,31,Silver,San Francisco,BOUTIQUE-DUBAI,STELLAR-FOUND-03,Setting Spray,125.95,Gift Card,Laptop,66.200.236.123,False,408
6ddd4f7c-0273-4b37-824f-f5e41808b547,ef46e331-a041-4ccc-a1d0-d3a36c9e0396,2025-05-17,00:05:02,34,Gold,Sydney,CONCESSION-LONDON,STELLAR-FOUND-03,Highlighter,177.37,Credit Card,Desktop,188.99.172.92,False,417
e577a37b-eb4d-4cae-b14a-6b92368f45f8,f5bcf0df-9066-4d9f-933b-8ec2f3277c71,2025-07-11,20:49:36,53,Gold,Rome,CONCESSION-SINGAPORE,GALAXIA-SET-08,Blush,236.79,Gift Card,Desktop,81.5.4.34,False,157
b115dc9a-01d8-46af-88ef-2603c9b22a57,db0a57cb-fabd-4b0d-8ccd-6ec0ab1ea1fe,2025-04-04,08:41:13,57,Gold,Miami,BOUTIQUE-SHANGHAI,ORION-CONCEAL-09,Eyeliner,165.64,Mobile Payment,Tablet,4.210.50.53,False,96
a11bbcfd-a12f-434a-8b50-30d3a252583e,c342e5f1-662c-46c4-bd64-2c267d4bd8e7,2025-08-02,20:34:18,23,Bronze,Sydney,CONCESSION-SINGAPORE,AURORA-LIP-01,Serum,103.81,Debit Card,Mobile,9.12.47.29,False,499
4c353f11-d6a3-4192-905b-951f2a0e76a5,0bcc0cf2-98cd-4a48-bc46-b92a5fce3646,2025-04-13,20:19:30,59,Bronze,Milan,BOUTIQUE-DUBAI,CELESTE-EYE-05,Eyeliner,66.48,Gift Card,Laptop,241.111.62.61,False,484
658b0922-05bd-4faa-a13f-4cc167102664,0597773a-2a06-47d6-bc9a-6d85d46c7ce2,2025-04-14,14:04:44,35,Bronze,Zurich,BOUTIQUE-SHANGHAI,ECLIPSE-EYE-10,Eyeliner,241.64,Debit Card,Tablet,76.239.38.232,False,177
5a1e6dbb-0313-4d05-ae74-57a2696bc1db,d4fa0e26-eae0-430a-9870-fa0ff5ba7e10,2025-05-22,13:30:29,61,Bronze,San Francisco,FLAGSHIP-PARIS,ECLIPSE-EYE-10,Foundation,270.43,Gift Card,Mobile,66.82.37.141,False,107
432111e8-d59d-4411-bd7c-6d6b6419d164,cd3fabe1-37e3-432d-aa4b-a620cacba236,2025-06-10,04:20:55,27,Bronze,Milan,CONCESSION-SINGAPORE,GALAXIA-SET-08,Setting Spray,66.8,Credit Card,Desktop,86.30.132.135,True,449
187b0df8-0e1f-4c11-aa01-0172dcd7e492,c2a51b1a-1104-4e9e-ad11-68d2f9eb80ca,2025-07-26,22:20:46,53,Bronze,Sydney,POPUP-TOKYO,STELLAR-FOUND-03,Blush,113.29,Credit Card,Mobile,46.225.35.251,False,146
f73252fc-5e38-49cb-ae09-1b7163fc88ad,5b1ad02e-e70c-487f-adc4-48a0f11bb26b,2025-05-18,11:25:08,31,Silver,San Francisco,POPUP-MILAN,NEBULA-SERUM-07,Eyeliner,251.98,Credit Card,Desktop,251.102.201.91,False,96
210a3217-c25c-427b-8ca6-7affc6aaeac0,3706178f-00a2-4182-b8de-7a5ccc84a0ad,2025-03-27,11:32:35,48,Bronze,Rome,BOUTIQUE-NYC,CELESTE-EYE-05,Foundation,91.78,Gift Card,Laptop,166.251.55.73,False,240
84598a36-1232-4e4a-84e0-b0c2f4d72602,d4cd65d5-f28b-4be0-8db0-8a393b8df8bb,2025-05-19,03:20:15,65,Bronze,San Francisco,BOUTIQUE-NYC,CELESTE-EYE-05,Blush,224.62,Debit Card,Desktop,139.220.111.54,False,189
f3e1a9e9-1477-4780-bcf1-79b5a82a08b4,d3e84df5-de46-4803-b5a8-cd834da3e06b,2025-05-15,14:07:17,32,Bronze,Sydney,BOUTIQUE-SHANGHAI,ECLIPSE-EYE-10,Foundation,245.06,Debit Card,Desktop,234.226.132.52,False,152
